ronda,nombre,dinero,empresas,tipos,valor_total,objetivo_secreto_cumplido
1,NeuroCorp,1650,2,"['finanzas', 'tecnologia']",7150,False
1,CorpX,3100,1,['energia'],6100,False
1,MegaTech,5000,0,[],5000,False
2,NeuroCorp,1310,3,['tecnologia'],10810,False
2,CorpX,1700,2,"['energia', 'medios']",6500,False
2,MegaTech,5000,0,[],5000,False
3,NeuroCorp,8270,2,['tecnologia'],14370,False
3,CorpX,800,3,"['energia', 'medios', 'salud']",6400,False
3,MegaTech,2700,1,['tecnologia'],6300,False
